Ranking,Title,Year,Runtime,IMDb,Box_Office(M)
1,Avatar,2009,162,7.8,760.51
2,Avengers: Endgame,2019,181,8.4,858.37
3,Titanic,1997,194,7.9,659.33
4,Star Wars: Episode VII - The Force Awakens,2015,138,7.8,936.66
5,Avengers: Infinity War,2018,149,8.4,678.82
6,Spider-Man: No Way Home,2021,148,8.3,804.75
7,Jurassic World,2015,124,6.9,652.27
8,The Lion King,2019,118,6.8,543.64
9,The Avengers,2012,143,8.0,623.28
10,Furious 7,2015,137,7.1,353.01
11,Top Gun: Maverick,2022,130,8.4,
12,Frozen II,2019,103,6.8,477.37
13,Avengers: Age of Ultron,2015,141,7.3,459.01
14,Black Panther,2018,134,7.3,700.06
15,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,381.01
16,Star Wars: Episode VIII - The Last Jedi,2017,152,6.9,620.18
17,Jurassic World: Fallen Kingdom,2018,128,6.1,417.72
18,Frozen,2013,102,7.4,400.74
19,Beauty and the Beast,2017,129,7.1,504.01
20,Incredibles 2,2018,118,7.6,608.58
21,The Fate of the Furious,2017,136,6.6,226.01
22,Iron Man Three,2013,130,7.1,409.01
23,Minions,2015,91,6.4,336.05
24,Captain America: Civil War,2016,147,7.8,408.08
25,Aquaman,2018,143,6.8,335.06
26,The Lord of the Rings: The Return of the King,2003,201,9.0,377.85
27,Spider-Man: Far from Home,2019,129,7.4,390.53
28,Captain Marvel,2019,123,6.8,426.83
29,Transformers: Dark of the Moon,2011,154,6.2,352.39
30,Jurassic Park,1993,127,8.2,402.45
31,Skyfall,2012,143,7.8,304.36
32,Transformers: Age of Extinction,2014,165,5.6,245.44
33,The Dark Knight Rises,2012,164,8.4,448.14
34,Joker,2019,122,8.4,335.45
35,Star Wars: The Rise Of Skywalker,2019,141,6.5,515.20
36,Toy Story 4,2019,100,7.7,434.04
37,Toy Story 3,2010,103,8.3,415.00
38,Pirates of the Caribbean: Dead Man's Chest,2006,151,7.3,423.32
39,The Lion King,1994,88,8.5,422.78
40,Rogue One: A Star Wars Story,2016,133,7.8,532.18
41,Aladdin,2019,128,6.9,355.56
42,Pirates of the Caribbean: On Stranger Tides,2011,136,6.6,241.06
43,Despicable Me 3,2017,89,6.2,264.62
44,Finding Dory,2016,97,7.3,486.30
45,Star Wars: Episode I - The Phantom Menace,1999,136,6.5,474.54
46,Alice in Wonderland,2010,108,6.4,334.19
47,Zootopia,2016,108,8.0,341.27
48,Harry Potter and the Sorcerer's Stone,2001,152,7.6,317.58
49,The Hobbit: An Unexpected Journey,2012,169,7.8,303.00
50,The Dark Knight,2008,152,9.0,534.86
51,Jurassic World: Dominion,2022,147,5.7,
52,Harry Potter and the Deathly Hallows: Part 1,2010,146,7.7,295.98
53,Despicable Me 2,2013,98,7.3,368.06
54,The Jungle Book,2016,106,7.4,364.00
55,Jumanji: Welcome to the Jungle,2017,119,6.9,404.52
56,The Hobbit: The Battle of the Five Armies,2014,144,7.4,255.12
57,Pirates of the Caribbean: At World's End,2007,169,7.1,309.42
58,The Hobbit: The Desolation of Smaug,2013,161,7.8,258.37
59,Doctor Strange in the Multiverse of Madness,2022,126,6.9,
60,The Lord of the Rings: The Two Towers,2002,179,8.8,342.55
61,Harry Potter and the Order of the Phoenix,2007,138,7.5,292.00
62,Finding Nemo,2003,100,8.2,380.84
63,Harry Potter and the Half-Blood Prince,2009,153,7.6,301.96
64,Minions: The Rise of Gru,2022,87,6.6,
65,Shrek 2,2004,93,7.3,436.47
66,Bohemian Rhapsody,2018,134,7.9,216.43
67,The Battle at Lake Changjin,2021,176,5.4,0.34
68,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,315.54
69,Harry Potter and the Goblet of Fire,2005,157,7.7,290.01
70,Spider-Man 3,2007,139,6.3,336.53
71,Ice Age: Dawn of the Dinosaurs,2009,94,6.9,196.57
72,No Time to Die,2021,163,7.3,160.87
73,Spectre,2015,148,6.8,200.07
74,Spider-Man: Homecoming,2017,133,7.4,334.20
75,Harry Potter and the Chamber of Secrets,2002,161,7.4,261.99
76,Ice Age: Continental Drift,2012,88,6.5,161.32
77,The Secret Life of Pets,2016,87,6.5,368.38
78,Batman v Superman: Dawn of Justice,2016,151,6.4,330.36
79,Wolf Warrior 2,2017,123,5.9,2.72
80,Star Wars: Episode III - Revenge of the Sith,2005,140,7.6,380.26
81,The Hunger Games: Catching Fire,2013,146,7.5,424.67
82,Guardians of the Galaxy Vol. 2,2017,136,7.6,389.81
83,Inside Out,2015,95,8.2,356.46
84,Venom,2018,112,6.6,213.52
85,Thor: Ragnarok,2017,130,7.9,315.06
86,Inception,2010,148,8.8,292.58
87,Transformers: Revenge of the Fallen,2009,149,5.9,402.11
88,The Twilight Saga: Breaking Dawn - Part 2,2012,115,5.5,292.30
89,Spider-Man,2002,121,7.4,403.71
90,Wonder Woman,2017,141,7.4,412.56
91,"Hi, Mom",2021,128,7.0,
92,Independence Day,1996,145,7.0,306.17
93,Fantastic Beasts and Where to Find Them,2016,132,7.2,234.04
94,Shrek the Third,2007,93,6.1,320.71
95,Coco,2017,105,8.4,209.73
96,Jumanji: The Next Level,2019,123,6.7,316.83
97,Harry Potter and the Prisoner of Azkaban,2004,142,7.9,249.36
98,Pirates of the Caribbean: Dead Men Tell No Tales,2017,129,6.5,172.56
99,E.T. the Extra-Terrestrial,1982,115,7.9,435.11
100,Mission: Impossible - Fallout,2018,147,7.7,220.16
101,2012,2009,158,5.8,166.11
